,username,url,playlist_sets,playlist
0,lilcandypaint *Candypaint,/lilcandypaint,https://soundcloud.com/lilcandypaint/sets,"/lilcandypaint/sets/its-still-purple,/lilcandypaint/sets/s8tans-last-dance-1,/lilcandypaint/sets/s8tans-last-dance,/lilcandypaint/sets/internet"
1,Nardo Wick,/nardo-wick,https://soundcloud.com/nardo-wick/sets,
2,Mohamed Ramadan,/mohamedramadanofficial,https://soundcloud.com/mohamedramadanofficial/sets,
3,Lil Tjay,/liltjay,https://soundcloud.com/liltjay/sets,/liltjay/sets/no-comparison
4,muhammed fawzii,/muhammed-fawzii,https://soundcloud.com/muhammed-fawzii/sets,"/muhammed-fawzii/sets/music,/muhammed-fawzii/sets/kr3htfwd3vtn"
5,octobersveryown,/octobersveryown,https://soundcloud.com/octobersveryown/sets,
6,kizaru,/kizaru_hf,https://soundcloud.com/kizaru_hf/sets,
7,Oliver Tree,/olivertree,https://soundcloud.com/olivertree/sets,/olivertree/sets/when-im-down
8,YVNGXCHRIS ARCHIVE,/user-734945161,https://soundcloud.com/user-734945161/sets,
9,NEIKED,/neikedmusic,https://soundcloud.com/neikedmusic/sets,"/neikedmusic/sets/neiked-sometimes-remixes,/neikedmusic/sets/call-me-remixes,/neikedmusic/sets/sexual-remixes"
10,Sleepy Hallow,/sleepy-hallow-880571354,https://soundcloud.com/sleepy-hallow-880571354/sets,/sleepy-hallow-880571354/sets/dont-sleep
11,Muslim - مسلم,/muslimnj,https://soundcloud.com/muslimnj/sets,
12,Lil Tecca ✰,/liltecca,https://soundcloud.com/liltecca/sets,
13,Eslabon Armado,/eslabonarmado,https://soundcloud.com/eslabonarmado/sets,
14,Ivan Cornejo,/ivancornejo,https://soundcloud.com/ivancornejo/sets,
15,اسمع ميوزك,/muslimmusico,https://soundcloud.com/muslimmusico/sets,
16,Jemy Kʀ,/jemy-kr,https://soundcloud.com/jemy-kr/sets,
17,siouxxie sixxstar,/siouxxie,https://soundcloud.com/siouxxie/sets,
18,Ahmed Belal,/ahmed-belal-958408833,https://soundcloud.com/ahmed-belal-958408833/sets,
19,playboicarti,/playboicarti,https://soundcloud.com/playboicarti/sets,
20,Lil Durk,/lildurk,https://soundcloud.com/lildurk/sets,"/lildurk/sets/only-the-family-lil-durk,/lildurk/sets/family-over-everything,/lildurk/sets/lil-durk-presents-only-the-1,/lildurk/sets/lil-durk-presents-only-the,/lildurk/sets/just-cause-yall-waited-1"
21,Seif Magdy,/seifmagdy-music,https://soundcloud.com/seifmagdy-music/sets,
22,@schlecht,/aidenschlecht,https://soundcloud.com/aidenschlecht/sets,/aidenschlecht/sets/leaks
23,POLO G,/polo-g,https://soundcloud.com/polo-g/sets,/polo-g/sets/polo-g
24,Muslim - مسلم,/sasamusic0,https://soundcloud.com/sasamusic0/sets,
25,TikTokTunes,/tiktoktunes,https://soundcloud.com/tiktoktunes/sets,"/tiktoktunes/sets/tiktok-songs-2021-lyrics,/tiktoktunes/sets/ttt"
26,YoungBoy Never Broke Again,/nba-youngboy,https://soundcloud.com/nba-youngboy/sets,"/nba-youngboy/sets/sincerely-kentrell-1,/nba-youngboy/sets/sincerely-kentrell,/nba-youngboy/sets/the-complete-collection,/nba-youngboy/sets/until-i-return,/nba-youngboy/sets/still-flexin-still-steppin"
27,The Joe Budden Podcast,/joebuddenpodcast,https://soundcloud.com/joebuddenpodcast/sets,
28,Mustafa Hosny,/mustafahosny,https://soundcloud.com/mustafahosny/sets,"/mustafahosny/sets/2021-772584378,/mustafahosny/sets/2021a9,/mustafahosny/sets/2021a8,/mustafahosny/sets/2021a7,/mustafahosny/sets/2021a6"
29,abu maism,/abu-maism-1,https://soundcloud.com/abu-maism-1/sets,"/abu-maism-1/sets/ii,/abu-maism-1/sets/zad,/abu-maism-1/sets/monjd,/abu-maism-1/sets/lqqrgtkzdnxm,/abu-maism-1/sets/alhj-othimin"
30,islamic-Quran,/islamic-quran,https://soundcloud.com/islamic-quran/sets,
31,Nafahat.Media,/nafahat-media-1,https://soundcloud.com/nafahat-media-1/sets,"/nafahat-media-1/sets/hq_1443h,/nafahat-media-1/sets/mustafa-almousa_1443h,/nafahat-media-1/sets/saeed-maateeg_1443h_n,/nafahat-media-1/sets/saeed-maateeg_1443h,/nafahat-media-1/sets/ghomgham_1443h"
32,Mlath,/mlath,https://soundcloud.com/mlath/sets,
33,Dr. Hassan Moraib,/hasan-moraib,https://soundcloud.com/hasan-moraib/sets,
34,Dina A. Hadad,/dina-a-hadad,https://soundcloud.com/dina-a-hadad/sets,
35,SamirAlBashiri,/samiralbashiri-1,https://soundcloud.com/samiralbashiri-1/sets,"/samiralbashiri-1/sets/jnrt8vt68wfj,/samiralbashiri-1/sets/kljw8ottvsdv,/samiralbashiri-1/sets/gv8hjoy60yaf,/samiralbashiri-1/sets/2gjir8gshbmy,/samiralbashiri-1/sets/xs5vtzjtc9oj"
36,Quran | القرآن الكريـم,/hania7,https://soundcloud.com/hania7/sets,
37,Goldman Sachs,/goldmansachs,https://soundcloud.com/goldmansachs/sets,"/goldmansachs/sets/talks-at-gs,/goldmansachs/sets/top-of-mind-at-goldman-sachs,/goldmansachs/sets/exchanges-at-goldman-sachs"
38,Ahmad_Alnufais,/ahmad_alnufais,https://soundcloud.com/ahmad_alnufais/sets,"/ahmad_alnufais/sets/5ecyevjra2zk,/ahmad_alnufais/sets/fullquran,/ahmad_alnufais/sets/athkar,/ahmad_alnufais/sets/nasheed,/ahmad_alnufais/sets/fullawrad"
39,Najoan Yosef,/najoan-yosef,https://soundcloud.com/najoan-yosef/sets,/najoan-yosef/sets/new-private-playlist-4
40,billboard,/billboard,https://soundcloud.com/billboard/sets,"/billboard/sets/the-guest-list-presents-nghtmre,/billboard/sets/radar-presents-louis-futon,/billboard/sets/the-guest-list-presents-sebastian-ingrosso,/billboard/sets/radar-presents-illenium,/billboard/sets/the-guest-list-presents-david-guetta"
41,JalyatUnaizah,/jalyat,https://soundcloud.com/jalyat/sets,
42,ayaat_06,/ayaat_06,https://soundcloud.com/ayaat_06/sets,
43,EntzarNet,/entzarnet,https://soundcloud.com/entzarnet/sets,"/entzarnet/sets/1443a1,/entzarnet/sets/1443-1,/entzarnet/sets/the-last-prayer,/entzarnet/sets/1442muharram,/entzarnet/sets/ramadhan1441-2"
44,شبكة قدس الاخبارية|QudsN,/qudsn,https://soundcloud.com/qudsn/sets,"/qudsn/sets/quds-podcasts,/qudsn/sets/pjdyn93r36ld,/qudsn/sets/3sserb1r2nlu,/qudsn/sets/bekfxkgoab9b,/qudsn/sets/0ajcgf3pqzo8"
45,abdulaziz alfgeh,/abdulaziz-alfgeh,https://soundcloud.com/abdulaziz-alfgeh/sets,
46,La Gamme au Max,/radiotelegamaxlive,https://soundcloud.com/radiotelegamaxlive/sets,"/radiotelegamaxlive/sets/nouvelles-dhaiti-en-direct-50-reseaux-numeriques-affilies,/radiotelegamaxlive/sets/gamax-live1-nouvelles-dhaiti-agogo-sur-la-radio-et-les-reseaux,/radiotelegamaxlive/sets/hit-infos-nouvelles-dhaiti-en-direct-les-non-dits-merci-decouter-gamax-live,/radiotelegamaxlive/sets/asasina-jovenel-moise-lajistis-dwe-tande-claude-joseph-dimitri-herard-ak-leon-charles,/radiotelegamaxlive/sets/nouvelles-dhaiti-en-direct-4-dossiers-chauds-les-non-dits-merci-decouter-gamax-live"
47,supresencia,/supresencia,https://soundcloud.com/supresencia/sets,"/supresencia/sets/oracion-2021,/supresencia/sets/pruebas-adversidad"
48,iFawzan,/ifawzan-1,https://soundcloud.com/ifawzan-1/sets,/ifawzan-1/sets/4dcf3aprv5o3
49,☆LiL PEEP☆,/lil_peep,https://soundcloud.com/lil_peep/sets,"/lil_peep/sets/lil-peep-lil-tracy-castles-ii,/lil_peep/sets/vertigo,/lil_peep/sets/everybodys-everything,/lil_peep/sets/goth-angel-sinner,/lil_peep/sets/come-over-when-youre-sober"
50,Mac DeMarco,/mac-demarco-official,https://soundcloud.com/mac-demarco-official/sets,
51,Vance  Joy,/vancejoy,https://soundcloud.com/vancejoy/sets,/vancejoy/sets/vance-joy-guardian-new-band-of
52,Mitski,/mitskiofficial,https://soundcloud.com/mitskiofficial/sets,
53,Fueled By Ramen,/fueled_by_ramen,https://soundcloud.com/fueled_by_ramen/sets,"/fueled_by_ramen/sets/paramore-1,/fueled_by_ramen/sets/mind-over-matter,/fueled_by_ramen/sets/paramore-the-only-exception-ep,/fueled_by_ramen/sets/paramore-2010-summer-tour-ep,/fueled_by_ramen/sets/paramore-brand-new-eyes"
